,Period,Year,Month,Location,Gender,Marital-status,Age-group,Occupation,Income-Level," Personal-Hygiene (eg Soap, toothpaste)",Cleaning-products ,"Fresh-groceries (Fruits, vegetables)",Medicines-Natural-remedies,Alcohol-beverages,Skin-care (eg. Body lotion),Hair-care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime-Data-bundles
1735,20/03/2023,2023,3,N2,Male,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Less,Less,Same,Less,Same,Same,Same,Same
1736,20/03/2023,2023,3,N48,Male,Married,Millennials,Salaried employee,Middle Income,More,Less,More,Less,Same,Less,Not sure,Less,Same,Less,Same
1737,20/03/2023,2023,3,N17,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Not sure,Not sure,Same,Same,Same,Same,Same,Not sure
1738,20/03/2023,2023,3,N14,Female,Dating,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Same,Same,Less,Same,Same,Same
1739,20/03/2023,2023,3,N47,Male,Married,Millennials,Self employed/Contractor,Low Income,Less,Less,Less,Not sure,Not sure,Less,Less,Less,Less,Less,Less
1740,20/03/2023,2023,3,N47,Female,Married,Millennials,Salaried employee,Low Income,Less,Less,Less,Less,Not sure,Less,Less,Less,Less,Less,Less
1741,20/03/2023,2023,3,N14,Female,Cohabiting,Millennials,Self employed/Contractor,Low Income,Same,Same,Same,Less,Not sure,Less,Less,Less,Less,Less,Less
1742,20/03/2023,2023,3,N21,Male,Divorced/Separated/Widowed,Millennials,Business owner,Middle Income,Same,Same,More,Same,Less,Less,Same,Same,More,Same,Same
1743,20/03/2023,2023,3,N25,Male,Married,Millennials,Business owner,Middle Income,Less,Less,Same,Not sure,Not sure,Less,Less,Less,Same,Less,Same
1744,20/03/2023,2023,3,N13,Female,Cohabiting,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Same
1745,20/03/2023,2023,3,N2,Female,Married,Millennials,Self employed/Contractor,Middle Income,Same,Same,More,More,Less,Same,Same,More,More,Same,More
1746,20/03/2023,2023,3,NK1,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Not sure,Less,Not sure,Not sure,Less,Not sure,Less,Same
1747,20/03/2023,2023,3,N41,Male,Married,Millennials,Unemployed,Low Income,Less,Same,Same,Same,Same,Same,More,More,More,More,Same
1748,20/03/2023,2023,3,N2,Male,Married,Millennials,Self employed/Contractor,Middle Income,Same,More,Same,Same,Same,Same,More,Same,Same,More,Same
1749,20/03/2023,2023,3,N30,Male,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Not sure,Less,Less,Same,Same,Same,Same,Same
1750,20/03/2023,2023,3,N8,Male,Married,Millennials,Business owner,Middle Income,Less,Same,Same,Not sure,Less,Less,Less,Same,Less,Same,Same
1751,20/03/2023,2023,3,N14,Female,Married,Millennials,Salaried employee,Low Income,Same,Same,Less,Less,Not sure,Not sure,Not sure,Less,Not sure,Less,Same
1752,20/03/2023,2023,3,N8,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,Not sure,Same,Same,Same,Same,Same,Same
1753,20/03/2023,2023,3,N41,Male,Married,Millennials,Business owner,Low Income,Less,Same,More,Same,More,More,More,Same,Same,Same,Same
1754,20/03/2023,2023,3,N8,Female,Cohabiting,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,More,Same,Less,Same,Same,Less
1755,20/03/2023,2023,3,N13,Male,Married,Millennials,Self employed/Contractor,Middle Income,Same,Less,Same,Less,Less,Less,Less,Less,Less,Less,Less
1756,20/03/2023,2023,3,N27,Female,Married,Millennials,Salaried employee,Low Income,More,Same,More,Not sure,Not sure,Not sure,More,More,Not sure,More,Same
1757,20/03/2023,2023,3,N2,Female,Married,Millennials,Business owner,Middle Income,Same,More,Same,Same,Same,More,More,More,More,Same,Same
1758,20/03/2023,2023,3,N12,Male,Married,Millennials,Salaried employee,Middle Income,More,Same,More,Less,Not sure,Same,Less,Less,Less,Same,More
1759,20/03/2023,2023,3,N2,Male,Married,Millennials,Self employed/Contractor,Middle Income,Same,Less,Same,Less,Less,Same,Same,Same,Less,Same,Same
1760,20/03/2023,2023,3,N21,Female,Divorced/Separated/Widowed,Millennials,Business owner,Middle Income,Same,Same,Less,More,Same,Same,Less,Same,More,Same,Same
1761,20/03/2023,2023,3,N25,Female,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Not sure,Not sure,Same,Less,Less,Same,Less,Same
1762,20/03/2023,2023,3,N31,Male,Single,Millennials,Salaried employee,Low Income,Same,Same,Same,Not sure,Not sure,Same,Not sure,Less,Not sure,Less,Same
1763,20/03/2023,2023,3,N22,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,Less,More,More,Same,More,More,More
1764,20/03/2023,2023,3,N11,Male,Married,Millennials,Self employed/Contractor,Middle Income,Same,More,More,More,More,Same,Same,More,Less,Same,More
1765,20/03/2023,2023,3,N12,Male,Married,Millennials,Self employed/Contractor,High Income,More,Same,More,Not sure,Not sure,Less,Less,Less,Same,Same,More
1766,20/03/2023,2023,3,N21,Male,Married,Millennials,Business owner,High Income,Same,Same,Same,Less,Less,Same,Less,Less,Less,Same,More
1767,20/03/2023,2023,3,N43,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Less,Less,Less,Less,Same,Same
1768,20/03/2023,2023,3,N10,Female,Married,Millennials,Salaried employee,Middle Income,Same,More,Same,Less,Not sure,Same,Same,Less,Same,Same,Same
1769,20/03/2023,2023,3,NK1,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Less,Same,Less,Same,Not sure,Less,Not sure,Less,Same
1770,20/03/2023,2023,3,N4,Male,Married,Millennials,Salaried employee,Low Income,Less,Less,Same,More,More,Less,Less,Less,Less,Same,Same
1771,20/03/2023,2023,3,NK1,Male,Cohabiting,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Not sure,More,Not sure,Not sure,Same,Not sure,Less,More
1772,20/03/2023,2023,3,N17,Male,Dating,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,Not sure,Same,Same,Same,Same,Same,Same
1773,20/03/2023,2023,3,NK1,Female,Cohabiting,Millennials,Salaried employee,Middle Income,Same,Same,Same,Not sure,Not sure,Same,Less,Less,Less,Less,Same
1774,20/03/2023,2023,3,N4,Male,Married,Millennials,Salaried employee,Middle Income,More,Same,Same,More,Same,Same,More,Same,Same,More,Same
1775,20/03/2023,2023,3,N2,Female,Married,Millennials,Salaried employee,Middle Income,Same,Less,Same,Less,Less,Same,Same,Less,Less,Same,Same
1776,20/03/2023,2023,3,N13,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Same
1777,20/03/2023,2023,3,N35,Female,Married,Millennials,Salaried employee,Low Income,Same,Same,More,More,Not sure,Less,Less,Same,Less,Same,Same
1778,20/03/2023,2023,3,N12,Female,Married,Millennials,Salaried employee,Middle Income,Less,Less,More,Less,Not sure,Not sure,Not sure,Same,Same,Same,Same
1779,20/03/2023,2023,3,NK1,Female,Cohabiting,Millennials,Self employed/Contractor,Low Income,Same,Same,Less,Not sure,Not sure,Not sure,Not sure,Less,Not sure,Not sure,Less
1780,20/03/2023,2023,3,N1,Female,Divorced/Separated/Widowed,Millennials,Self employed/Contractor,Middle Income,More,More,Same,Less,Not sure,Same,Same,Less,Less,Same,More
1781,20/03/2023,2023,3,N21,Male,Divorced/Separated/Widowed,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Less,Same,More,Same,More,More
1782,20/03/2023,2023,3,N25,Male,Married,Millennials,Business owner,Middle Income,Less,Less,Less,Less,Not sure,Less,Not sure,Not sure,Less,Less,Same
1783,20/03/2023,2023,3,N27,Male,Dating,Millennials,Salaried employee,Low Income,More,Less,Same,Same,Not sure,Same,Less,More,Same,Same,More
1784,20/03/2023,2023,3,N48,Male,Married,Millennials,Self employed/Contractor,Low Income,More,Less,Not sure,More,Less,Less,Not sure,Not sure,More,Not sure,Less
1785,20/03/2023,2023,3,N11,Female,Married,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Not sure,Same,Same,Less,Less,Less,Same
1786,20/03/2023,2023,3,N28,Male,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
1787,20/03/2023,2023,3,N14,Female,Dating,Millennials,Self employed/Contractor,Low Income,Same,Same,Less,Less,Not sure,Same,Same,Less,Same,Less,Less
1788,20/03/2023,2023,3,N21,Female,Divorced/Separated/Widowed,Millennials,Business owner,High Income,Less,Same,Same,Same,Same,Same,More,Same,Less,Less,Same
1789,20/03/2023,2023,3,N4,Male,Married,Millennials,Salaried employee,Low Income,Same,Less,Same,Less,Same,Less,Less,Same,Less,Less,Same
1790,20/03/2023,2023,3,N50,Female,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Less,Not sure,Same,Less,Less,Same,Less,Less
1791,20/03/2023,2023,3,N12,Male,Married,Millennials,Salaried employee,Low Income,Same,Less,Same,Not sure,Not sure,Not sure,Not sure,Not sure,Less,Less,Less
1792,20/03/2023,2023,3,N41,Male,Married,Millennials,Salaried employee,Middle Income,Less,More,Not sure,Same,More,Same,More,More,Same,Same,Same
1793,20/03/2023,2023,3,N18,Male,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
1794,20/03/2023,2023,3,NK1,Male,Cohabiting,Millennials,Salaried employee,Low Income,Same,Same,Less,Not sure,Not sure,Not sure,Not sure,Less,Not sure,Less,More
1795,20/03/2023,2023,3,N47,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Not sure,Same,Same,Less,Same,Same,Same
1796,20/03/2023,2023,3,NK1,Female,Divorced/Separated/Widowed,Millennials,Self employed/Contractor,Middle Income,Same,Same,Less,Not sure,Less,Not sure,Not sure,Less,Not sure,Less,Same
1797,20/03/2023,2023,3,N10,Male,Married,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Less,Less,Same,Less,Less,Same,Same,More
1798,20/03/2023,2023,3,N47,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,Less,Not sure,Less,Less,Less,Less,Less,Less,Less
1799,20/03/2023,2023,3,MS1,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Less,Less,More,More,Same,More,More
1800,20/03/2023,2023,3,NK1,Female,Divorced/Separated/Widowed,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Less,Not sure,Same,Less,Less,Less,Less,Same
1801,20/03/2023,2023,3,NK1,Male,Married,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Less,Less,Not sure,Less,More
1802,20/03/2023,2023,3,N41,Male,Married,Millennials,Salaried employee,Low Income,Less,Same,Same,Same,Same,More,More,More,More,Same,Same
1803,20/03/2023,2023,3,N47,Male,Married,Millennials,Self employed/Contractor,Middle Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
1804,20/03/2023,2023,3,N16,Male,Married,Millennials,Business owner,Low Income,Same,More,More,Less,Not sure,Less,Less,Less,Less,Less,More
1805,20/03/2023,2023,3,N5,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
1806,20/03/2023,2023,3,N4,Male,Single,Millennials,Salaried employee,Middle Income,Less,Less,Same,Less,Same,Less,Less,Less,Less,Less,Less
1807,20/03/2023,2023,3,N8,Female,Married,Millennials,Self employed/Contractor,Middle Income,Less,Same,Same,Same,Less,Same,Same,Same,More,Same,Same
1808,20/03/2023,2023,3,N13,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less
1809,20/03/2023,2023,3,NK1,Female,Cohabiting,Millennials,Salaried employee,Middle Income,Same,Same,Less,Not sure,Not sure,Same,Not sure,Less,Less,Less,Same
1810,20/03/2023,2023,3,N41,Male,Married,Millennials,Unemployed,Low Income,Less,Same,Same,Same,Same,Same,Same,More,More,More,More
1811,20/03/2023,2023,3,N35,Male,Divorced/Separated/Widowed,Millennials,Salaried employee,High Income,More,More,More,More,More,More,More,More,More,More,More
1812,20/03/2023,2023,3,N41,Female,Married,Millennials,Business owner,Low Income,Less,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
1813,20/03/2023,2023,3,N31,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Not sure,Less,Less,Less,Less,Same,Same
1814,20/03/2023,2023,3,N41,Female,Married,Millennials,Unemployed,Low Income,Less,Same,More,More,Same,Same,More,More,More,More,Same
1815,20/03/2023,2023,3,N10,Female,Married,Millennials,Business owner,Middle Income,Less,Less,Same,Not sure,Not sure,Less,Less,Less,Less,Less,Same
1816,20/03/2023,2023,3,N41,Female,Married,Millennials,Unemployed,Low Income,Less,More,More,More,More,More,Same,Same,Same,Same,Same
1817,20/03/2023,2023,3,N43,Male,Cohabiting,Millennials,Salaried employee,Low Income,Less,Less,Same,Same,Not sure,Less,Less,Less,Less,Less,Same
1818,20/03/2023,2023,3,N1,Female,Married,Millennials,Self employed/Contractor,Middle Income,More,More,More,More,More,More,More,More,More,Same,Same
1819,20/03/2023,2023,3,N47,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Same,Same,Same,Same,Less,Same
1820,20/03/2023,2023,3,N30,Male,Married,Millennials,Business owner,High Income,Same,Less,Same,Not sure,Not sure,Same,Same,Same,Less,Same,Same
1821,20/03/2023,2023,3,N34,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Same,Same,Same,Same,Same,Same,Same
1822,20/03/2023,2023,3,N17,Male,Married,Millennials,Business owner,Middle Income,Same,Same,Less,Not sure,Same,Same,Same,Same,Same,Same,Same
1823,20/03/2023,2023,3,NK1,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Not sure,Same,Less,Not sure,Less,Less,Not sure,Same
1824,20/03/2023,2023,3,N13,Female,Single,Millennials,Salaried employee,Low Income,Less,Less,Same,Less,Not sure,Less,Less,Less,Less,Less,Less
1825,20/03/2023,2023,3,N41,Male,Married,Millennials,Business owner,Low Income,Less,Same,Same,Same,More,More,More,Same,Same,Same,More
1826,20/03/2023,2023,3,N18,Female,Single,Millennials,Unemployed,Low Income,Same,Same,Less,Less,Less,Same,Same,Less,Less,Less,Less
1827,20/03/2023,2023,3,N4,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,More,Same,Same,More,Same
1828,20/03/2023,2023,3,N25,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Not sure,Not sure,Same,Less,Less,Less,Less,Same
1829,20/03/2023,2023,3,N34,Female,Single,Millennials,Salaried employee,Low Income,Less,Less,Same,Same,Same,Same,Same,Same,Less,Less,Less
1830,20/03/2023,2023,3,N6,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Not sure,Less,Less,Less,Less,Less,Less
1831,20/03/2023,2023,3,N9,Male,Dating,Millennials,Salaried employee,Middle Income,Same,Same,Less,Less,Same,Less,Less,Same,Same,Same,Same
1832,20/03/2023,2023,3,N4,Male,Married,Millennials,Salaried employee,Middle Income,Less,Same,Same,Less,Same,Same,Same,Same,Same,Same,Less
1833,20/03/2023,2023,3,N11,Female,Married,Millennials,Business owner,Middle Income,Same,More,More,Not sure,Same,More,Not sure,Same,More,Same,More
1834,20/03/2023,2023,3,N5,Female,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
1835,20/03/2023,2023,3,NK1,Female,Cohabiting,Millennials,Salaried employee,Low Income,Same,Same,Less,Not sure,Less,Less,Not sure,Less,Less,Less,Same
1836,20/03/2023,2023,3,N48,Male,Married,Millennials,Business owner,Low Income,Same,Less,Less,Same,Not sure,Less,More,Same,Same,Less,Same
1837,20/03/2023,2023,3,N28,Male,Married,Millennials,Business owner,Middle Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
1838,20/03/2023,2023,3,N1,Female,Dating,Millennials,Business owner,Middle Income,More,Same,More,Less,Same,More,Same,More,More,More,Same
1839,20/03/2023,2023,3,N22,Female,Married,Millennials,Salaried employee,Middle Income,Same,Less,Same,Same,Not sure,Same,More,Less,More,More,More
1840,20/03/2023,2023,3,N13,Female,Single,Millennials,Salaried employee,Low Income,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Less
1841,20/03/2023,2023,3,N12,Female,Divorced/Separated/Widowed,Millennials,Self employed/Contractor,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,More,Same
1842,20/03/2023,2023,3,N5,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
1843,20/03/2023,2023,3,N21,Male,Married,Millennials,Self employed/Contractor,Middle Income,More,Same,More,Same,Same,Less,More,Same,Same,More,Same
1844,20/03/2023,2023,3,N9,Female,Dating,Millennials,Salaried employee,Low Income,More,Same,Same,Less,Not sure,Not sure,Less,Less,Not sure,Same,Same
1845,20/03/2023,2023,3,N50,Female,Married,Millennials,Unemployed,Low Income,Same,Same,More,More,Same,More,More,Same,More,Same,Same
1846,20/03/2023,2023,3,N8,Female,Married,Millennials,Unemployed,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
1847,20/03/2023,2023,3,N27,Male,Dating,Millennials,Salaried employee,Middle Income,Same,Less,Not sure,Less,Not sure,Same,Less,Not sure,More,More,Not sure
1848,20/03/2023,2023,3,N1,Male,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Not sure,Same,Same,Same,Same,Same,Same
1849,20/03/2023,2023,3,N16,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,More,Not sure,Not sure,Less,Less,Less,Not sure,Same,Same
1850,20/03/2023,2023,3,N36,Male,Dating,Millennials,Salaried employee,Middle Income,More,More,More,More,Less,Less,Not sure,Not sure,Not sure,Less,Same
1851,20/03/2023,2023,3,N9,Male,Dating,Millennials,Business owner,Low Income,Same,Same,Same,Less,Same,Less,Less,Same,Less,Same,Same
1852,20/03/2023,2023,3,N27,Male,Dating,Millennials,Salaried employee,Low Income,Same,Not sure,More,Less,More,More,Not sure,Same,More,Not sure,Less
1853,20/03/2023,2023,3,N22,Male,Married,Millennials,Self employed/Contractor,Middle Income,Less,Less,Less,Less,Same,Not sure,Not sure,Less,Not sure,Same,More
1854,20/03/2023,2023,3,NK1,Female,Divorced/Separated/Widowed,Millennials,Self employed/Contractor,Low Income,Same,Same,Less,Not sure,Not sure,Same,Not sure,Less,Not sure,Not sure,Same
1855,20/03/2023,2023,3,N50,Female,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Less,Not sure,Same,Same,Less,Same,Less,Same
1856,20/03/2023,2023,3,N11,Female,Married,Millennials,Salaried employee,Middle Income,Same,More,Less,Same,Less,Same,Less,More,More,Same,Less
1857,20/03/2023,2023,3,N31,Female,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Less
1858,20/03/2023,2023,3,N1,Female,Dating,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
1859,20/03/2023,2023,3,N2,Female,Married,Millennials,Salaried employee,Middle Income,Same,More,Same,More,Same,Same,More,More,Same,Same,More
1860,20/03/2023,2023,3,N30,Male,Dating,Millennials,Business owner,Middle Income,Same,Same,Less,Not sure,Less,Same,Same,Same,Less,Less,Same
1861,20/03/2023,2023,3,N2,Male,Married,Millennials,Salaried employee,Middle Income,Same,Less,Same,Same,Less,Same,Same,Less,Less,Same,Same
1862,20/03/2023,2023,3,N1,Male,Dating,Millennials,Business owner,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
1863,20/03/2023,2023,3,N30,Female,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Not sure,Not sure,Same,Less,Same,Same,Same,More
1864,20/03/2023,2023,3,N47,Male,Married,Millennials,Unemployed,Low Income,Less,Less,Less,Not sure,Less,Less,Less,Less,Less,Less,Less
1865,20/03/2023,2023,3,N1,Male,Divorced/Separated/Widowed,Millennials,Unemployed,Low Income,Same,Same,Same,Same,Same,Less,Less,Less,Less,Less,Same
1866,20/03/2023,2023,3,N31,Male,Cohabiting,Millennials,Salaried employee,Low Income,Same,Same,Same,Less,Less,Same,Not sure,Less,Less,Less,Same
1867,20/03/2023,2023,3,N22,Female,Dating,Millennials,Salaried employee,Low Income,Same,Same,Less,Less,Less,Same,Same,Less,Same,Same,More
1868,20/03/2023,2023,3,N28,Female,Dating,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Less
1869,20/03/2023,2023,3,N11,Female,Dating,Millennials,Business owner,Middle Income,Same,More,Less,Same,Not sure,Same,More,Same,Same,More,Same
1870,20/03/2023,2023,3,N28,Female,Dating,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,Same,Same,Same,Same,Same,Same,Same
1871,20/03/2023,2023,3,N2,Female,Married,Millennials,Self employed/Contractor,Middle Income,Same,Less,Same,More,More,Same,Same,Same,Same,Same,Same
1872,20/03/2023,2023,3,N43,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Not sure,Less,Not sure,Not sure,Not sure,Not sure,Less,Same
1873,20/03/2023,2023,3,N22,Male,Married,Millennials,Salaried employee,Middle Income,More,Less,Same,Less,Less,Less,Less,Same,Same,Same,Same
1874,20/03/2023,2023,3,N11,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Same,Same,Same,Same,Same,Same
1875,20/03/2023,2023,3,N25,Female,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Not sure,Not sure,Same,Same,Not sure,Same,Less,Same
1876,20/03/2023,2023,3,N11,Male,Married,Millennials,Self employed/Contractor,Middle Income,Same,Same,More,More,Less,Same,Less,Same,Same,More,Same
1877,20/03/2023,2023,3,N11,Female,Cohabiting,Millennials,Salaried employee,High Income,Same,Same,Same,Same,Not sure,More,Same,Same,Same,More,Same
1878,20/03/2023,2023,3,N18,Male,Divorced/Separated/Widowed,Millennials,Unemployed,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
1879,20/03/2023,2023,3,N43,Male,Cohabiting,Millennials,Business owner,Low Income,Less,Less,Same,Not sure,Less,Less,Less,Less,Less,Less,Less
1880,20/03/2023,2023,3,MS1,Male,Married,Millennials,Self employed/Contractor,Low Income,Less,Same,Same,Same,Less,Same,Same,Not sure,Same,More,Less
1881,20/03/2023,2023,3,MS1,Male,Married,Millennials,Self employed/Contractor,Low Income,Same,Same,Same,Not sure,Same,Less,Same,Same,More,Same,Not sure
1882,20/03/2023,2023,3,N18,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,Less,Not sure,Less,Same,Not sure,Less,Less,Less,Less
1883,20/03/2023,2023,3,N47,Female,Single,Millennials,Salaried employee,Low Income,Less,Less,Less,Less,Not sure,Less,Less,Not sure,Less,Less,Less
1884,20/03/2023,2023,3,N47,Female,Divorced/Separated/Widowed,Millennials,Salaried employee,Low Income,Less,Less,Less,Less,Not sure,Less,Less,Less,Less,Less,Less
1885,20/03/2023,2023,3,N12,Male,Dating,Millennials,Self employed/Contractor,High Income,Same,More,More,Same,More,Less,Less,More,Same,Same,More
1886,20/03/2023,2023,3,N1,Female,Divorced/Separated/Widowed,Millennials,Salaried employee,High Income,Same,Less,Same,Same,Same,Same,More,Same,More,More,More
1887,20/03/2023,2023,3,N25,Male,Married,Millennials,Salaried employee,Middle Income,Less,More,Same,Less,Not sure,Less,Not sure,Not sure,Same,Less,Same
1888,20/03/2023,2023,3,N30,Female,Married,Millennials,Business owner,Low Income,Same,Same,Same,Same,Same,Same,Same,Less,Less,Less,Same
1889,20/03/2023,2023,3,N4,Female,Married,Millennials,Salaried employee,Middle Income,Less,Same,Less,Less,Less,Same,Same,Less,Less,Same,Less
1890,20/03/2023,2023,3,N17,Male,Married,Millennials,Salaried employee,High Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
1891,20/03/2023,2023,3,N28,Female,Cohabiting,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
1892,20/03/2023,2023,3,N1,Male,Married,Millennials,Business owner,Middle Income,Same,Same,More,Same,Less,Less,Less,Same,Less,Same,More
1893,20/03/2023,2023,3,N48,Male,Dating,Millennials,Self employed/Contractor,Middle Income,Same,Not sure,Same,Not sure,More,Same,Not sure,Not sure,Not sure,More,Same
1894,20/03/2023,2023,3,N6,Female,Single,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Not sure,Less,Less,Less,Less,Less,Less
1895,20/03/2023,2023,3,N50,Female,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Less,Same,Less,Same
1896,20/03/2023,2023,3,N25,Female,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Not sure,Not sure,Same,Less,Same,Same,Less,Same
1897,20/03/2023,2023,3,N10,Female,Dating,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Not sure,Same,Same,Not sure,Same,Less,Same
1898,20/03/2023,2023,3,N47,Female,Single,Millennials,Salaried employee,Low Income,Less,Less,Less,Not sure,Less,Less,Less,Not sure,Less,Less,Less
1899,20/03/2023,2023,3,N10,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Not sure,Less,Less,Not sure,Less,Same,Same
1900,20/03/2023,2023,3,N20,Female,Married,Millennials,Self employed/Contractor,Low Income,Same,Less,Same,Same,Not sure,Same,Less,Same,Same,Same,More
1901,20/03/2023,2023,3,N21,Male,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,More,Same,Less,Same,More,More
1902,20/03/2023,2023,3,N30,Female,Married,Millennials,Salaried employee,Low Income,Same,Less,Same,Same,Not sure,Same,Same,Same,Less,Less,Same
1903,20/03/2023,2023,3,N4,Male,Married,Millennials,Salaried employee,Middle Income,Less,Same,Less,Same,Less,Less,Less,Less,Same,Less,Less
1904,20/03/2023,2023,3,MS1,Male,Divorced/Separated/Widowed,Millennials,Salaried employee,Low Income,Same,More,More,More,More,More,Same,Less,Less,Less,Same
1905,20/03/2023,2023,3,N22,Female,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Less,Less,Same,Same,Less,Same,Same,More
1906,20/03/2023,2023,3,N22,Female,Divorced/Separated/Widowed,Millennials,Self employed/Contractor,Low Income,Less,Same,Same,Same,Less,Same,Less,Same,Same,Same,Same
1907,20/03/2023,2023,3,N8,Female,Dating,Millennials,Self employed/Contractor,Middle Income,Same,More,More,Same,More,More,More,More,More,More,More
1908,20/03/2023,2023,3,MS1,Male,Cohabiting,Millennials,Salaried employee,Low Income,Same,More,Same,Less,More,More,Not sure,Not sure,More,Same,More
1909,20/03/2023,2023,3,N28,Female,Married,Millennials,Business owner,High Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
1910,20/03/2023,2023,3,N9,Female,Dating,Millennials,Salaried employee,Middle Income,Same,Less,Same,Same,Same,Less,Not sure,Less,Less,Less,Same
1911,20/03/2023,2023,3,N9,Female,Dating,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Not sure,Same,Same,Same,Same,Same,Same
1912,20/03/2023,2023,3,N2,Male,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Less,Same,Less,More,Same,Same
1913,20/03/2023,2023,3,N30,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Less,Not sure,Not sure,Same,Same,Less,Less,Same,Same
