,Period,Location,Marital-status," Personal-Hygiene (eg Soap, toothpaste)",Cleaning-products ,"Fresh-groceries (Fruits, vegetables)",Medicines-Natural-remedies,Alcohol-beverages,Skin-care (eg. Body lotion),Hair-care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime-Data-bundles
5833,10,27,1,3,3,3,3,2,2,2,2,2,0,0
3836,9,67,1,3,3,1,3,3,1,3,3,1,3,3
2213,11,39,4,0,3,3,2,0,3,3,0,3,3,3
2633,4,26,4,0,0,0,0,0,0,0,0,0,0,0
1659,1,63,4,3,3,3,3,3,3,3,3,3,3,3
3782,9,33,4,3,1,1,3,1,3,3,3,3,3,3
4791,3,33,2,1,3,1,3,3,3,1,1,3,3,1
4738,3,40,2,0,3,3,3,3,3,3,3,3,1,2
2145,11,69,0,3,3,3,0,2,0,0,0,0,0,0
777,12,61,6,3,3,3,2,0,3,2,0,2,0,3
2434,11,25,4,1,1,1,1,0,3,0,0,0,0,1
4072,5,41,1,1,3,3,0,3,0,1,1,2,2,2
4055,5,23,4,3,3,1,2,2,3,0,2,3,0,1
4336,5,35,4,3,0,3,3,3,0,3,3,3,0,1
1491,1,50,3,3,3,3,3,0,0,2,2,2,0,3
3025,0,29,6,3,1,1,0,2,3,3,1,0,3,1
2966,0,26,6,3,3,3,3,2,3,3,0,2,0,3
4945,3,62,2,1,3,1,3,0,0,1,3,1,3,3
5357,13,40,6,3,1,3,3,0,3,0,0,0,3,3
5434,13,27,4,3,3,3,3,2,0,0,3,0,0,0
517,12,29,1,3,3,3,2,2,2,2,3,0,3,1
4315,5,24,4,3,3,0,3,1,3,3,1,3,3,3
3620,9,39,3,3,3,1,0,2,3,0,2,0,3,1
3966,9,28,6,3,3,3,0,2,3,3,3,3,3,3
4903,3,58,7,0,0,3,0,2,0,0,0,0,0,3
6971,7,36,4,0,3,3,3,2,3,0,2,3,3,3
3464,0,68,3,1,1,1,3,2,3,0,3,0,3,3
4914,3,59,0,3,3,3,0,0,3,3,0,3,0,3
568,12,48,4,3,3,3,3,3,3,3,3,3,3,3
360,2,58,6,1,3,3,3,0,0,1,1,3,1,0
3792,9,61,4,3,3,3,3,0,0,0,0,0,0,3
6052,10,33,4,1,3,1,1,3,3,1,3,1,3,3
6146,8,63,4,3,1,1,1,1,3,1,3,3,1,3
6154,8,60,4,3,3,3,3,3,3,3,3,3,3,3
759,12,39,1,0,0,3,2,2,3,2,0,3,0,3
4498,5,71,4,1,1,1,1,1,0,0,0,0,0,0
6729,7,59,1,3,3,1,0,0,0,0,0,0,0,0
5816,10,36,4,0,3,0,0,2,2,2,2,2,0,3
4666,3,22,5,0,3,3,1,3,1,3,3,1,1,1
214,2,21,6,1,3,0,3,2,1,3,1,3,1,1
3039,0,59,6,3,1,1,1,3,1,3,3,3,0,1
3978,9,24,4,1,3,3,3,3,2,2,3,2,3,3
2963,0,31,6,1,1,1,3,3,3,3,3,3,3,3
4332,5,24,1,3,3,1,3,3,3,3,3,3,3,3
5928,10,59,4,3,3,3,3,3,1,1,1,1,3,3
6674,7,64,1,3,3,3,2,2,0,0,0,3,0,3
1473,6,34,4,3,1,0,3,2,0,1,3,3,3,0
2244,11,33,1,3,3,0,3,0,0,3,3,0,3,3
725,12,67,1,3,3,3,3,3,3,3,3,3,3,3
4628,3,29,7,1,1,3,1,2,2,2,1,0,0,1
49,2,27,4,3,1,0,0,0,3,3,3,3,3,3
5613,10,41,1,1,0,3,0,0,3,3,1,1,1,1
887,12,27,1,3,3,3,3,2,3,3,3,3,0,3
6266,8,22,0,3,3,3,3,3,3,3,3,3,3,3
4937,3,61,5,3,3,1,3,2,3,3,0,0,0,0
6466,8,49,4,3,3,3,3,3,3,3,3,3,3,3
516,12,54,1,3,3,3,1,0,1,3,3,3,0,3
5965,10,29,4,1,1,1,1,2,0,0,1,0,0,1
139,2,42,4,3,3,3,3,1,3,3,1,3,3,0
3113,0,24,4,3,1,2,3,1,3,1,1,1,3,3
5631,10,62,6,1,3,3,3,0,1,1,0,3,1,1
6108,8,36,3,0,0,0,0,0,2,2,3,2,0,1
6386,8,38,4,3,3,3,3,3,3,3,3,3,3,3
463,2,58,1,3,3,3,0,2,0,0,0,0,0,1
4751,3,41,2,1,3,1,1,3,1,3,1,2,3,1
1233,6,50,6,1,3,3,1,2,1,3,3,0,0,0
594,12,45,6,1,3,3,0,2,3,3,0,3,0,1
450,2,54,4,3,3,3,3,0,0,3,0,0,0,0
5194,13,62,1,1,3,3,0,1,3,3,0,3,1,3
3333,0,51,4,1,3,3,3,2,3,3,2,3,3,3
3664,9,69,6,1,1,1,3,3,3,3,3,1,1,1
312,2,31,0,3,3,1,3,2,3,0,3,3,3,3
3193,0,62,1,1,0,2,1,0,1,0,3,3,1,2
4320,5,35,4,3,3,3,1,3,1,1,3,3,1,3
4818,3,48,2,3,3,3,2,3,2,2,0,0,0,0
451,2,67,3,3,0,1,3,2,3,3,0,3,3,1
5957,10,27,1,3,3,3,3,2,3,3,3,3,0,3
890,12,31,4,0,0,0,0,0,0,0,0,0,0,0
2763,4,31,6,1,1,1,1,1,1,2,1,1,1,1
658,12,63,4,3,3,3,3,3,3,3,3,3,3,3
1506,1,30,4,3,3,3,3,2,3,2,2,3,3,3
5538,13,30,4,3,3,3,0,3,3,3,3,0,0,3
6699,7,62,4,1,3,3,1,1,0,0,1,1,1,1
999,6,21,0,0,3,3,2,1,0,3,3,1,1,3
389,2,27,4,3,1,3,3,0,2,0,3,2,0,3
2330,11,21,4,1,3,1,1,3,1,1,1,3,3,3
1476,6,48,6,3,3,3,3,0,0,0,0,0,0,0
2240,11,56,4,0,3,3,3,2,1,1,1,3,3,3
6436,8,30,3,3,3,3,3,2,3,3,3,3,3,3
6446,8,40,4,3,3,3,0,0,3,3,0,0,3,3
6415,8,25,4,1,1,3,0,2,3,0,2,0,0,0
6336,8,5,4,3,3,3,3,3,3,3,3,0,3,3
2775,4,62,1,2,1,1,3,0,1,2,0,1,1,1
1923,1,58,0,3,3,3,3,0,3,3,3,3,3,3
758,12,56,4,0,3,3,3,0,0,3,0,3,3,3
6617,7,68,4,1,3,3,3,1,3,1,3,1,3,3
6268,8,64,1,1,1,0,2,2,0,0,2,0,0,3
1293,6,25,4,3,0,3,2,2,0,3,0,3,0,3
6314,8,62,1,1,1,1,2,2,0,0,0,0,0,1
2873,4,30,6,3,3,3,3,3,3,3,3,3,3,3
5994,10,40,4,3,0,3,0,0,3,0,0,3,0,0
4993,3,63,5,3,3,3,3,3,3,3,3,3,3,3
1907,1,67,1,3,1,1,3,1,1,1,1,1,1,1
4928,3,60,0,1,1,3,3,3,3,3,3,3,3,3
4967,3,54,3,1,3,1,1,1,1,1,3,1,1,3
368,2,50,6,3,3,1,0,2,3,0,2,0,3,3
1937,1,62,1,1,1,1,3,2,3,1,1,2,3,2
1151,6,62,4,3,2,0,1,2,3,0,2,2,1,3
6869,7,45,4,3,1,3,3,2,3,3,0,0,0,3
4539,5,42,4,3,3,3,3,3,3,0,0,0,0,0
3573,9,63,4,3,3,3,3,3,3,3,3,3,3,3
7045,7,27,0,3,3,3,3,0,3,3,0,3,3,3
191,2,54,4,3,3,1,3,3,0,0,3,0,3,1
4769,3,42,2,3,1,1,1,0,3,0,0,0,0,0
5885,10,45,4,3,0,3,2,2,3,3,3,0,0,3
174,2,29,4,3,3,3,2,0,2,2,0,0,0,1
1903,1,54,4,0,3,0,3,0,0,0,0,3,0,0
1099,6,33,4,1,1,3,3,1,1,1,1,1,3,1
4742,3,40,7,3,3,1,2,3,3,3,3,3,3,3
3035,0,65,1,1,1,1,1,0,0,3,3,3,3,3
2292,11,33,4,3,3,3,1,3,3,3,3,3,3,3
6271,8,33,1,1,1,1,1,1,1,3,1,1,1,1
6964,7,36,4,0,3,0,0,2,3,3,2,2,3,1
4092,5,62,1,1,3,3,1,2,1,3,3,0,3,3
5826,10,38,6,1,1,1,3,3,3,1,3,1,3,3
1164,6,35,4,3,0,3,3,0,0,0,3,3,1,1
3910,9,69,4,3,3,1,0,3,3,2,3,2,0,1
6652,7,65,6,1,1,1,3,0,3,3,0,3,3,1
3047,0,59,4,1,1,1,1,1,3,3,3,2,3,3
5332,13,56,1,2,2,2,2,2,2,2,2,2,2,2
6353,8,58,0,3,0,3,3,0,0,0,0,0,0,3
1661,1,25,4,3,3,1,0,3,1,1,0,3,1,1
508,12,63,4,3,3,3,3,3,3,3,3,3,3,3
166,2,49,0,3,3,1,1,3,3,3,3,3,3,3
5316,13,37,1,3,3,1,1,1,1,1,1,1,1,1
4921,3,60,2,3,3,3,3,3,3,3,3,3,3,3
5137,13,39,4,3,3,3,2,2,3,3,2,3,3,3
4825,3,49,5,3,3,3,3,3,3,3,3,3,3,3
103,2,35,1,3,3,3,0,0,3,0,0,0,0,3
5804,10,49,3,3,3,3,3,3,3,3,3,3,3,3
4335,5,35,1,3,3,0,3,0,0,3,1,3,3,0
3355,0,20,6,1,1,3,3,0,0,0,3,0,3,1
3939,9,69,6,3,3,1,0,2,3,3,0,3,0,3
4398,5,54,1,3,0,3,0,0,0,0,3,0,3,0
1752,1,67,4,3,3,1,3,2,3,3,3,3,3,3
6395,8,38,6,3,3,3,3,3,3,3,3,3,3,3
3935,9,45,0,1,1,1,0,2,0,0,0,3,3,3
3007,0,67,6,3,1,3,1,3,3,1,1,1,2,2
2916,4,29,6,1,1,1,0,2,3,0,3,3,3,3
4715,3,38,3,1,1,1,3,3,3,3,0,3,3,1
1658,1,42,4,1,1,3,3,3,3,3,3,3,3,3
152,2,69,1,3,3,3,2,0,3,0,0,0,0,3
3757,9,36,6,1,1,1,1,0,0,0,0,0,1,0
2483,11,35,4,1,1,3,1,1,1,1,1,1,1,3
1583,1,65,6,3,3,3,3,2,0,0,0,0,0,0
6027,10,32,1,3,3,3,3,3,3,1,1,1,3,3
2552,4,54,4,3,1,3,1,1,3,1,1,3,1,1
3544,9,60,4,3,3,3,3,3,3,3,3,3,3,3
4958,3,54,2,1,1,0,1,0,3,0,2,0,0,3
3718,9,25,4,3,0,3,0,3,3,3,0,3,3,3
5257,13,40,4,3,3,3,3,3,3,3,3,3,3,3
3049,0,25,1,3,3,3,2,2,1,1,0,1,1,1
6254,8,56,3,1,1,1,2,2,2,2,2,2,2,2
2209,11,68,0,0,3,0,3,0,0,3,3,3,3,3
3837,9,67,3,3,1,1,1,1,1,1,1,1,1,1
4520,5,71,0,3,3,3,3,3,3,3,3,3,3,3
2985,0,58,0,3,3,3,3,2,1,3,0,3,3,0
1822,1,30,4,3,3,0,2,3,3,3,3,3,3,3
5884,10,45,4,3,3,3,3,2,3,3,3,3,3,3
4081,5,62,1,1,0,3,2,1,1,3,1,2,0,3
4295,5,57,1,1,1,1,1,3,1,1,1,3,1,1
4532,5,68,0,3,3,3,1,3,1,1,3,3,1,1
309,2,45,4,3,3,3,2,0,0,0,0,0,3,3
212,2,69,4,3,3,1,0,2,0,2,0,3,0,1
3523,9,41,4,1,3,0,0,1,2,2,2,1,1,1
4288,5,45,1,3,3,1,0,2,0,0,0,0,0,3
6561,8,47,4,1,1,1,1,0,0,0,0,0,0,0
495,12,54,4,3,3,0,3,0,3,3,3,3,3,3
205,2,65,4,3,3,3,3,2,0,0,0,0,0,3
1434,6,48,6,3,3,3,3,3,3,3,3,0,0,0
1135,6,67,4,3,3,3,0,3,3,3,3,3,3,3
2584,4,54,1,3,1,1,3,1,3,1,1,3,1,3
868,12,62,6,1,0,1,0,2,3,1,3,0,2,2
2749,4,63,4,3,3,3,3,3,3,3,3,3,3,3
305,2,62,1,2,1,0,2,2,3,0,3,3,3,1
1849,1,29,4,3,3,1,2,2,0,0,0,2,3,3
4575,3,24,5,3,1,3,1,3,1,3,3,1,3,1
1988,11,68,1,3,3,3,3,3,3,3,3,3,3,3
2798,4,65,6,1,1,3,3,2,3,3,3,0,0,0
3985,9,24,4,1,1,3,3,2,3,3,3,3,3,3
1534,1,61,1,3,3,3,3,3,3,3,0,3,0,3
843,12,24,4,3,0,3,3,2,3,0,3,3,3,3
1987,11,34,6,1,3,1,3,3,1,3,0,3,0,3
4918,3,60,5,3,3,3,3,3,3,3,3,3,3,3
4808,3,46,5,1,1,1,3,2,3,3,0,3,3,3
3685,9,26,6,0,0,0,0,0,0,0,0,0,0,0
383,2,26,4,3,3,3,3,3,3,0,0,0,0,3
1538,1,65,4,3,3,3,3,2,0,0,0,0,0,0
211,2,33,4,3,1,3,3,1,3,3,1,3,3,3
1957,1,36,4,3,0,3,1,3,1,1,0,1,1,1
6822,7,50,6,1,1,3,0,2,0,0,0,0,0,3
2438,11,63,4,3,3,3,3,3,3,3,3,3,3,3
2727,4,33,4,3,1,3,3,3,1,3,1,1,3,3
3378,0,54,4,3,3,1,3,3,1,1,3,3,1,1
5411,13,38,6,3,3,3,1,3,1,3,3,1,3,3
1349,6,68,1,1,3,1,0,3,3,3,1,3,0,1
4480,5,68,4,3,3,3,1,3,1,3,3,1,3,3
5304,13,61,4,3,3,3,2,2,2,2,2,2,3,3
5481,13,59,6,0,1,1,1,1,1,1,1,1,1,1
680,12,64,4,3,1,1,0,3,3,3,0,3,3,1
180,2,49,3,1,1,1,1,1,1,1,1,1,3,1
6816,7,50,1,1,2,0,2,2,3,0,0,0,0,3
3221,0,60,4,3,3,3,3,2,3,3,0,3,3,3
6686,7,54,1,1,1,3,3,1,1,1,3,3,1,3
5760,10,55,0,1,1,1,0,0,0,0,0,0,0,0
278,2,58,4,3,0,3,3,3,2,2,2,3,3,3
5780,10,55,4,1,1,1,1,0,0,0,0,0,0,0
6327,8,15,4,3,3,1,3,3,3,3,1,3,1,3
2480,11,42,4,3,3,3,3,3,3,3,3,3,3,3
289,2,22,1,3,3,3,3,3,3,3,3,3,3,3
4447,5,27,1,3,3,3,3,2,2,2,2,2,0,0
5379,13,29,4,3,1,1,1,2,3,0,0,0,0,1
993,6,31,4,3,3,3,3,3,3,3,2,3,0,3
2236,11,69,6,3,3,3,0,2,3,0,0,0,0,3
5231,13,63,4,3,1,1,1,1,3,3,1,1,3,1
39,2,24,4,1,1,1,3,0,3,0,3,0,0,3
7137,7,6,1,3,3,3,1,3,3,1,3,1,3,1
2754,4,63,4,3,3,3,3,3,3,3,3,3,3,3
5744,10,63,4,3,1,1,1,1,3,1,3,1,3,1
3165,0,65,6,1,1,1,1,0,3,3,3,3,3,1
270,2,39,4,0,3,3,2,2,0,0,0,0,0,3
4035,5,48,4,1,1,1,1,3,3,3,0,3,3,3
2883,4,61,6,3,1,1,0,0,3,0,3,0,3,3
5856,10,51,6,2,2,2,2,2,2,2,2,2,2,2
5149,13,42,3,1,1,3,1,0,3,3,3,3,3,3
5544,13,43,6,1,3,1,3,1,3,3,1,3,3,1
5568,13,47,4,1,1,1,1,2,3,3,0,3,3,0
111,2,30,3,3,3,3,0,3,3,3,0,0,0,3
1391,6,27,4,3,3,3,0,0,2,2,0,2,0,3
2600,4,69,4,3,3,1,0,2,3,2,3,0,0,3
220,2,56,4,1,3,3,1,1,1,1,3,1,3,3
4302,5,69,4,3,3,3,2,2,3,3,2,0,0,3
3407,0,31,6,3,3,3,3,3,3,3,3,3,3,3
4354,5,33,6,3,0,1,3,0,3,3,1,0,3,3
83,2,36,0,0,3,3,3,3,3,1,0,3,0,0
873,12,31,4,0,0,0,0,0,0,0,0,0,0,0
6634,7,66,0,1,1,3,3,3,3,3,3,3,3,3
6445,8,40,4,3,3,3,3,0,0,0,0,0,0,3
461,2,67,1,3,3,0,2,2,3,2,2,2,0,3
6296,8,39,3,3,3,3,2,2,3,3,2,3,3,3
551,12,49,6,3,3,1,1,2,1,1,3,1,3,1
3197,0,29,4,1,1,1,0,2,3,3,3,0,3,1
2374,11,50,4,1,1,1,1,3,3,0,0,0,3,3
6023,10,68,4,0,3,1,1,3,1,0,3,1,1,0
2246,11,22,1,3,3,3,3,3,3,3,3,3,3,3
6740,7,58,4,3,3,3,3,0,3,0,0,3,0,3
6718,7,61,4,3,3,1,3,0,2,2,2,0,0,0
2450,11,34,4,1,1,3,3,0,3,3,0,3,3,0
2329,11,46,4,3,0,3,0,2,3,3,3,3,3,3
6010,10,37,4,3,3,0,0,1,1,2,2,1,1,1
2146,11,50,6,1,1,1,1,0,3,0,2,0,3,3
7067,7,26,6,0,0,0,0,0,0,0,0,0,0,0
3783,9,56,4,1,1,1,1,1,1,1,1,1,1,1
6319,8,52,4,3,3,3,3,3,3,3,3,3,3,3
650,12,21,4,3,1,1,3,1,0,1,1,1,1,1
708,12,63,4,3,3,3,3,3,3,3,3,3,3,3
6124,8,41,1,3,3,1,3,2,2,0,3,3,3,1
3558,9,39,4,0,3,1,2,2,0,2,2,0,0,3
3492,9,23,4,3,3,3,0,2,0,0,2,0,0,1
4019,5,69,1,3,3,3,2,2,2,2,0,2,0,3
3063,0,22,3,0,3,3,3,3,3,3,3,3,3,3
5740,10,63,4,3,1,1,1,1,3,1,3,3,3,1
1424,6,41,6,0,3,2,1,0,3,2,2,1,3,0
1216,6,69,0,3,3,3,2,2,3,2,0,0,2,3
5469,13,25,4,3,3,3,3,0,0,0,0,0,0,0
1924,1,31,6,3,3,3,3,3,3,3,3,3,3,3
4489,5,68,4,3,3,1,3,3,1,1,1,3,3,1
4600,3,26,7,0,0,0,0,0,0,0,0,0,0,0
314,2,65,4,3,3,3,3,2,0,0,0,0,0,3
3961,9,28,4,1,1,3,2,2,0,0,2,0,0,0
1427,6,64,1,3,3,3,0,2,0,0,0,0,0,3
7077,7,25,1,0,3,0,2,2,0,3,0,0,3,3
5642,10,34,3,3,3,3,2,1,1,2,3,1,2,1
4101,5,63,4,3,3,3,3,3,3,3,3,3,3,3
5796,10,25,4,3,3,1,0,0,3,3,0,3,3,3
3008,0,23,4,3,3,3,0,2,3,0,2,3,3,1
5930,10,59,6,3,1,1,1,1,3,3,1,3,1,3
1105,6,24,4,3,3,3,3,0,3,2,0,2,3,3
6381,8,38,4,3,3,3,3,3,3,3,3,3,3,3
4394,5,58,4,3,3,3,0,2,2,2,3,0,3,3
7161,7,43,4,0,3,3,3,3,3,3,3,3,3,3
4328,5,26,3,0,0,0,0,0,0,0,0,0,0,0
684,12,65,4,3,3,3,0,2,0,0,0,0,0,3
5245,13,63,4,3,1,1,3,3,1,3,1,1,1,3
4604,3,27,2,0,0,0,0,0,0,0,0,0,0,0
2765,4,56,4,3,1,1,1,1,3,1,3,3,1,3
3176,0,50,1,0,0,3,0,2,2,2,2,2,2,1
3948,9,38,0,1,1,1,3,3,3,3,3,0,3,3
2451,11,22,6,0,0,0,0,0,0,0,0,0,0,0
3290,0,27,4,3,3,3,3,3,3,2,0,2,0,3
326,2,69,0,3,3,3,0,0,0,0,0,0,2,0
2652,4,24,4,1,1,1,1,2,3,1,3,3,3,1
7013,7,32,6,3,3,3,3,3,3,3,3,3,3,3
2176,11,42,4,3,3,3,3,3,3,3,3,3,3,3
3765,9,36,4,2,3,3,3,3,2,1,2,2,2,2
4220,5,25,4,3,3,3,0,2,0,0,0,3,3,3
6198,8,55,1,1,1,1,1,1,1,1,1,1,1,1
3388,0,57,6,3,3,1,1,1,2,1,2,3,3,0
2787,4,21,4,1,3,3,3,1,3,1,1,3,1,1
7022,7,30,6,2,2,2,3,2,3,3,2,2,2,2
3404,0,31,6,3,3,3,3,3,3,3,3,3,3,3
1676,1,48,4,3,0,3,3,3,3,3,3,3,3,0
348,2,30,1,3,2,2,2,2,2,2,2,2,2,3
5227,13,35,1,3,2,1,1,1,3,1,1,2,3,1
3833,9,25,4,3,1,1,3,3,1,3,2,3,3,3
6596,8,52,4,3,3,3,3,3,3,3,3,3,3,3
1626,1,50,6,2,2,2,2,2,2,2,2,2,2,2
4350,5,33,4,3,1,1,3,0,3,0,3,3,3,1
3870,9,68,4,0,3,1,3,3,1,1,3,3,1,1
3575,9,69,1,0,0,0,0,3,2,2,3,3,3,3
871,12,34,4,0,0,0,1,0,0,0,0,0,1,0
4189,5,64,0,3,3,3,3,2,3,3,0,3,0,1
5359,13,64,6,3,3,1,2,2,0,0,0,3,3,3
5483,13,59,6,3,1,1,1,3,1,3,1,1,3,3
2218,11,41,6,3,3,1,1,1,3,3,1,2,2,2
6095,8,33,1,1,1,3,3,3,3,3,1,1,3,3
2121,11,57,4,0,3,1,1,2,1,3,1,3,1,2
3878,9,68,4,3,1,1,3,1,3,1,3,1,3,3
3481,9,65,1,1,3,1,1,1,1,3,3,3,1,1
5621,10,18,4,1,1,1,1,1,1,1,1,1,1,1
85,2,50,3,3,0,3,3,0,3,1,3,0,3,1
5763,10,49,4,3,1,3,0,2,3,3,0,3,3,3
1877,1,24,0,3,3,3,3,2,1,3,3,3,1,3
2801,4,63,4,3,3,3,3,3,3,3,3,3,3,3
5658,10,39,6,3,3,3,2,2,0,0,2,0,0,3
2640,4,36,4,3,0,0,3,0,2,2,2,2,0,0
6333,8,13,4,3,3,3,3,1,3,3,3,3,3,3
2880,4,69,6,3,1,2,2,2,3,2,0,0,0,3
4152,5,69,6,2,2,2,2,0,3,3,0,0,0,3
494,12,48,6,3,3,3,3,3,3,3,3,3,3,3
2019,11,58,6,3,3,3,0,2,0,0,2,2,0,3
2525,4,22,4,3,1,2,1,2,1,2,1,1,2,3
5397,13,61,4,3,3,3,3,3,3,0,0,0,3,3
5716,10,63,4,3,1,1,1,3,1,3,1,1,3,1
4003,5,38,1,1,1,1,1,0,0,0,3,0,0,1
1270,6,50,4,1,1,1,1,2,1,1,1,1,1,1
6191,8,55,3,3,3,3,3,3,3,3,3,3,3,3
5260,13,66,1,3,3,3,2,0,0,0,0,0,3,3
2895,4,56,4,0,3,1,1,1,3,3,3,1,1,1
3820,9,38,6,3,1,3,1,1,3,3,1,0,0,1
5922,10,24,4,1,3,3,3,3,1,3,1,1,3,3
618,12,21,6,3,0,3,1,2,1,1,3,3,0,3
6130,8,62,4,3,1,0,0,3,1,0,3,3,3,1
3816,9,46,4,3,1,2,1,2,0,0,2,0,0,1
4640,3,31,7,3,1,1,1,3,3,3,3,3,3,3
6662,7,63,4,3,1,1,1,1,3,1,3,3,1,3
3226,0,69,1,3,3,1,0,2,3,3,0,0,0,1
4816,3,48,2,1,1,1,1,1,2,2,0,2,0,0
1413,6,48,6,3,3,0,0,2,0,0,0,0,0,0
2201,11,41,3,1,1,3,2,2,2,0,2,2,2,1
2001,11,35,3,1,1,3,1,3,3,3,1,0,3,1
5375,13,45,4,3,1,1,3,2,3,3,3,3,3,3
869,12,27,1,3,3,3,3,3,3,3,3,3,3,3
2358,11,26,4,3,3,3,3,3,3,0,0,0,0,0
2006,11,62,4,2,1,3,0,0,1,1,0,3,2,0
3090,0,22,4,3,3,3,3,3,3,3,3,3,3,3
6881,7,33,1,1,3,3,3,3,3,1,3,3,1,1
4961,3,54,0,1,3,3,3,0,3,3,0,0,1,0
356,2,69,4,3,1,1,3,2,3,3,0,0,0,1
1162,6,34,6,1,3,1,3,3,0,3,1,3,0,0
6308,8,45,6,3,1,3,3,2,3,3,0,0,0,3
3064,0,22,0,0,0,0,0,0,0,0,0,0,0,0
3238,0,58,0,0,0,0,0,0,0,0,0,0,0,0
3161,0,50,0,1,1,1,1,0,0,0,0,0,0,3
3487,9,23,4,3,3,3,2,2,3,3,2,0,0,1
4508,5,71,4,1,1,1,1,1,1,3,3,3,0,0
3892,9,64,4,3,3,3,0,2,3,3,3,0,0,0
7062,7,26,6,0,0,0,0,0,0,0,0,0,0,0
1890,1,30,4,3,3,3,3,3,3,3,3,3,3,3
579,12,61,4,3,3,3,0,3,0,0,0,3,3,3
2319,11,68,0,3,3,3,3,3,3,3,3,3,3,3
6611,7,56,1,3,1,1,1,3,3,3,3,3,3,3
1691,1,23,4,3,3,3,2,0,0,0,2,3,0,3
862,12,62,1,1,0,3,0,3,0,2,3,0,2,3
6409,8,37,0,0,0,3,3,3,3,1,1,1,1,1
4404,5,58,6,3,3,3,3,2,3,3,0,0,3,3
2380,11,23,6,3,3,1,2,2,3,3,3,3,3,1
2378,11,58,4,3,3,3,3,0,3,3,3,3,3,3
5048,13,41,4,1,3,1,0,1,3,3,3,1,3,1
5550,13,44,0,1,2,1,1,1,0,3,3,1,0,0
5384,13,68,4,1,3,3,0,1,3,0,3,3,1,1
1116,6,62,1,3,3,3,1,1,1,1,2,3,3,0
1541,1,48,6,3,3,3,3,3,3,3,3,3,0,3
4541,5,42,6,3,3,3,3,3,3,3,3,3,3,3
5514,13,64,4,1,3,1,0,2,3,3,0,3,0,0
6587,8,52,4,3,3,3,3,3,3,3,3,3,3,3
6220,8,65,4,1,1,1,1,0,3,3,0,3,3,1
4834,3,49,5,1,1,1,0,3,1,1,0,0,3,1
5724,10,25,4,3,0,3,2,2,2,2,0,0,3,1
3649,9,50,4,3,3,3,1,2,3,0,0,0,3,1
4789,3,33,5,1,3,3,1,3,1,3,1,1,3,3
4664,3,22,2,3,3,3,3,3,3,3,3,0,3,3
2500,4,23,4,3,3,3,2,2,3,0,2,0,0,3
6328,8,15,1,3,3,3,3,3,3,1,3,3,3,1
3918,9,30,4,3,3,0,3,0,3,2,3,2,3,1
6347,8,39,6,3,3,3,2,2,3,3,2,3,0,1
6355,8,43,6,1,3,1,3,3,3,3,1,1,1,1
7047,7,27,4,3,3,3,3,2,3,2,0,2,0,3
3480,9,65,6,1,1,1,1,3,1,3,0,3,3,1
5395,13,29,4,1,1,1,0,0,0,0,0,0,0,1
4577,3,24,5,3,1,3,1,3,3,3,1,1,3,3
6825,7,50,4,3,3,3,3,2,3,0,2,0,0,3
3534,9,62,4,1,0,3,1,0,3,2,2,3,0,1
4207,5,20,3,1,1,3,3,0,3,0,0,0,0,3
5322,13,61,4,3,3,1,2,0,3,3,0,3,3,3
4758,3,42,2,1,1,1,1,0,0,0,0,0,0,0
6867,7,46,6,3,3,3,3,3,3,3,3,3,1,1
2052,11,61,4,3,3,3,2,2,3,3,2,0,3,3
1776,1,26,4,3,3,3,0,0,0,0,0,0,0,3
4024,5,36,4,3,3,3,3,3,3,3,3,3,3,1
4382,5,56,4,1,1,1,1,3,1,1,1,1,1,1
2536,4,35,3,0,3,3,3,1,3,3,3,3,3,1
6810,7,52,4,3,3,3,3,2,3,3,2,3,3,3
4803,3,45,5,1,3,3,0,0,0,0,0,0,0,3
1592,1,65,6,3,3,3,3,0,0,0,0,0,0,0
1723,1,46,4,3,3,3,0,2,3,3,0,3,0,0
7141,7,6,4,3,3,3,3,1,3,1,1,3,3,3
5654,10,39,4,3,3,3,0,2,3,3,2,0,3,3
2611,4,68,3,1,1,1,1,1,1,2,1,2,1,1
4870,3,55,5,1,1,3,3,0,3,1,1,1,1,1
490,12,68,1,3,3,3,1,3,1,3,3,3,1,1
6025,10,68,6,0,0,0,3,0,3,3,0,3,3,0
2910,4,34,1,3,3,3,3,0,0,2,0,2,0,3
1006,6,27,4,3,3,3,0,0,2,2,2,2,0,3
4305,5,24,4,3,3,3,3,1,3,3,3,3,3,3
2503,4,26,6,3,3,3,3,3,3,3,3,3,3,3
7033,7,30,1,3,3,3,3,0,2,2,0,2,0,3
2314,11,27,6,3,3,3,3,2,3,3,0,3,3,3
2554,4,67,1,3,3,3,2,2,3,3,0,0,3,3
1417,6,65,6,3,3,3,3,0,0,0,0,0,0,3
3096,0,22,6,3,3,3,3,3,3,3,3,3,3,3
25,2,33,4,3,3,3,3,3,0,3,3,3,3,3
2409,11,33,4,3,0,3,0,3,3,3,0,0,3,3
3270,0,69,4,2,2,2,2,2,2,2,2,2,2,2
1113,6,68,0,3,1,3,2,0,3,3,0,3,0,3
4251,5,30,4,2,2,2,2,2,3,3,2,3,2,2
1552,1,34,6,3,3,1,1,0,0,0,0,3,1,0
